SI#	GENE	GDS	ORGANISM	SAMPLE
386	HOOK1	GDS5040	Homo sapiens	6
387	IRF6	GDS3627	Homo sapiens	58
388	MBNL3	GDS5040	Homo sapiens	6
389	CHIC1	GDS5040	Homo sapiens	6
390	NAV3	GDS5040	Homo sapiens	6
391	CD44	GDS5040	Homo sapiens	6
392	AKR1C1	GDS2490	Homo sapiens	11
393	IL1RAP	GDS5040	Homo sapiens	6
394	PTEN	GDS5498	Homo sapiens	7
395	PCCB	GDS5498	Homo sapiens	7
396	RSL1D1	GDS5498	Homo sapiens	7
397	NDRG4	GDS5498	Homo sapiens	7
398	PLGRKT	GDS5040	Homo sapiens	6
399	C1orf109	GDS5040	Homo sapiens	6
400	SLC16A1	GDS3627	Homo sapiens	58
401	METTL21A	GDS5498	Homo sapiens	7
402	CLIC2	GDS5040	Homo sapiens	6
403	DIAPH2	GDS5498	Homo sapiens	7
404	RPL23AP7	GDS5498	Homo sapiens	7
405	PRIMA1	GDS3627	Homo sapiens	58
406	TOM1L1	GDS5498	Homo sapiens	7
407	RDM1	GDS5498	Homo sapiens	7
408	CYHR1	GDS5498	Homo sapiens	7
409	FAF1	GDS5040	Homo sapiens	6
410	MAGT1	GDS5040	Homo sapiens	6
411	ENTPD7	GDS5040	Homo sapiens	6
412	ME1	GDS2490	Homo sapiens	11
413	C16orf74	GDS5040	Homo sapiens	6
414	PELI1	GDS5040	Homo sapiens	6
415	MARS2	GDS5040	Homo sapiens	6
416	None	GDS5040	Homo sapiens	6
417	NDUFA10	GDS5498	Homo sapiens	7
418	TGM4	GDS5040	Homo sapiens	6
419	ACAA1	GDS5498	Homo sapiens	7
420	SLC16A1	GDS3627	Homo sapiens	58
421	ELL3	GDS5498	Homo sapiens	7
422	BTN2A1	GDS5498	Homo sapiens	7
423	FAM209A	GDS5498	Homo sapiens	7
424	UGT1A1	GDS2490	Homo sapiens	11
425	HTATIP2	GDS2490	Homo sapiens	11
426	UGT1A1	GDS2490	Homo sapiens	11
427	MT1E	GDS5498	Homo sapiens	7
428	LMLN	GDS5040	Homo sapiens	6
429	MTMR6	GDS5040	Homo sapiens	6
430	C2orf54	GDS5040	Homo sapiens	6
431	GBP1P1	GDS5040	Homo sapiens	6
432	PRTG	GDS5498	Homo sapiens	7
433	AMY2B	GDS5040	Homo sapiens	6
434	ELL3	GDS5498	Homo sapiens	7
435	CARNMT1	GDS5040	Homo sapiens	6
436	FBN1	GDS5498	Homo sapiens	7
437	EIF1AY	GDS2491	Homo sapiens	9
438	USP9Y	GDS2491	Homo sapiens	9
439	PDK1	GDS5498	Homo sapiens	7
440	None	GDS3627	Homo sapiens	58
441	GOLM1	GDS5498	Homo sapiens	7
442	TCAF1	GDS5498	Homo sapiens	7
443	None	GDS5498	Homo sapiens	7
444	UGT1A3	GDS2490	Homo sapiens	11
445	CYP2A13	GDS2489	Homo sapiens	44
446	DDX3Y	GDS2491	Homo sapiens	9
